opp_team_abbrev,Team,Division,Conference
PHI,76ers,Atlantic,Eastern
BOS,Celtics,Atlantic,Eastern
NYK,Knicks,Atlantic,Eastern
BRK,Nets,Atlantic,Eastern
TOR,Raptors,Atlantic,Eastern
NJN,Nets,Atlantic,Eastern
MIL,Bucks,Central,Eastern
CHI,Bulls,Central,Eastern
CLE,Cavaliers,Central,Eastern
IND,Pacers,Central,Eastern
DET,Pistons,Central,Eastern
CHH,Hornets,Central,Eastern
ATL,Hawks,Southeast,Eastern
MIA,Heat,Southeast,Eastern
CHO,Hornets,Southeast,Eastern
ORL,Magic,Southeast,Eastern
WAS,Wizards,Southeast,Eastern
CHA,Hornets,Southeast,Eastern
WSB,Bullets,Southeast,Eastern
UTA,Jazz,Northwest,Western
DEN,Nuggets,Northwest,Western
OKC,Thunder,Northwest,Western
POR,Trail Blazers,Northwest,Western
MIN,Timberwolves,Northwest,Western
LAC,Clippers,Pacific,Western
SAC,Kings,Pacific,Western
LAL,Lakers,Pacific,Western
GSW,Warriors,Pacific,Western
PHO,Suns,Pacific,Western
SEA,Sonics,Pacific,Western
MEM,Grizzlies,Southwest,Western
DAL,Mavericks,Southwest,Western
NOP,Pelicans,Southwest,Western
HOU,Rockets,Southwest,Western
SAS,Spurs,Southwest,Western
NOH,Hornets,Southwest,Western
